position,x0,y0,x1,y1
0,457.1915887850471,660.8084112149521,840.5565217391309,167.51739130434666
1,457.0143540669856,660.6985645933014,839.2151898734177,166.45569620253164
2,456.6532663316583,660.4120603015075,836.8893442622951,164.2827868852459
3,456.28042328042324,660.015873015873,832.0704845814979,159.66519823788548
4,456.0978260869565,659.8260869565217,828.5570776255707,154.5753424657534
5,455.1774193548387,660.0860215053764,826.296875,151.65625
6,454.9106145251397,659.7486033519554,823.7619047619047,150.5674603174603
7,454.814606741573,659.6011235955056,818.3559322033898,146.71610169491527
8,454.38947368421054,658.9263157894736,813.6320346320347,143.76190476190476
9,452.9117647058823,653.6323529411765,809.974358974359,140.3230769230769
10,451.8045977011494,649.2988505747127,801.5942028985506,133.1207729468599
11,451.5,645.0743243243244,795.1955555555555,127.18222222222222
12,454.935960591133,645.167487684729,792.009009009009,124.28378378378379
13,456.5969387755102,643.9693877551019,787.3524590163935,118.00819672131148
14,459.35885167464113,643.0334928229665,784.257142857143,114.90204081632655
15,464.23857868020303,641.8071065989848,781.0826086956522,112.58260869565217
16,471.20512820512823,641.2615384615384,778.5785123966942,110.92975206611571
17,477.645,640.995,777.9632653061225,110.52653061224491
18,483.95283018867923,640.8962264150944,777.5040322580645,110.27419354838709
19,486.20588235294116,641.313725490196,775.6090534979425,108.82304526748972
20,489.30481283422455,642.2299465240642,774.4862385321102,107.70642201834863
21,493.7192118226601,642.8965517241379,771.6419213973799,103.73362445414847
22,497.7951219512195,644.7219512195122,768.0916334661355,99.45816733067728
23,500.88687782805437,647.0950226244345,764.246511627907,98.03255813953488
24,503.8303571428571,650.1294642857142,761.41452991453,97.9957264957265
25,505.45454545454544,653.1038961038961,757.9434782608696,97.0391304347826
26,506.2207792207792,655.2034632034632,753.4826086956522,97.30434782608695
27,507.47598253275106,663.056768558952,752.0952380952381,98.31601731601732
28,504.5674418604651,664.7209302325581,747.9392523364486,98.53738317757009
29,502.2603305785124,667.2066115702479,744.6681415929204,98.85398230088495
30,500.3514644351464,668.3347280334727,738.7025641025641,99.58974358974359
31,500.36563876651985,665.9955947136565,730.8778280542987,99.00000000000001
32,497.89830508474574,663.5254237288135,724.5275229357799,98.07339449541286
33,495.65573770491807,661.7336065573771,715.6807511737089,97.32394366197184
34,490.45614035087715,661.0263157894736,709.0646551724138,95.09482758620689
35,489.3247863247864,659.8547008547009,701.8986784140969,93.53744493392071
36,486.88646288209605,657.8820960698689,693.2735042735044,90.0940170940171
37,480.50704225352115,656.9718309859155,687.8975609756097,88.65853658536585
38,474.5694444444444,656.6851851851851,680.3383084577114,86.71641791044776
39,468.7222222222222,657.199074074074,672.2334801762115,83.0660792951542
40,462.0740740740741,656.1805555555555,666.9461883408071,80.7713004484305
41,457.87046632124355,654.9896373056995,661.4253393665159,77.6606334841629
42,451.5674418604651,650.8279069767442,656.4173913043478,73.31304347826087
43,445.04901960784315,647.4509803921569,651.4734299516908,69.83574879227052
44,438.1666666666667,645.1274509803922,645.0512820512821,64.37179487179488
45,431.44019138755976,641.4928229665071,639.8264840182648,59.15981735159817
46,425.0666666666667,639.1857142857143,634.9205020920501,55.88702928870293
47,419.58152173913044,635.820652173913,632.5675675675676,54.765765765765764
48,414.0396475770925,632.1894273127754,629.5738396624472,53.700421940928265
49,410.4029850746269,630.7711442786069,625.8738317757009,53.81308411214953
50,405.2432432432433,625.6432432432433,621.6025641025642,53.74786324786325
51,399.62983425414365,621.0165745856353,619.7357723577236,53.56910569105692
52,393.46994535519127,615.4808743169399,617.8212765957447,53.842553191489365
53,386.9899497487437,609.9346733668342,612.7098214285714,54.34375
