,name,width,height,length,fps,frame,scale,bodyLength0,bodyLength1
0,CF_FF_01,1280,720,54246,29.97002997002997,0,686.0,44.40720662234904,42.42640687119285
1,CF_FF_02,1280,720,54246,29.97002997002997,6000,687.0007278016524,40.792156108742276,41.773197148410844
2,CF_FF_03,1280,720,54246,29.97002997002997,0,689.0029027515051,45.70557952810576,42.01190307520001
3,CF_FF_04,1280,720,54246,29.97002997002997,3000,683.6585405010311,39.96248240537617,41.30375285612676
4,CF_FF_05,1280,720,54246,29.97002997002997,3000,686.4925345551836,44.384682042344295,43.18564576337837
5,CF_FF_06,1280,720,54246,29.97002997002997,0,689.0878028234138,39.698866482558415,38.897300677553446
6,CF_FF_07,1280,720,54246,29.97002997002997,3000,687.0116447339157,39.20459156782532,43.965895873961216
7,CF_FF_08,1280,720,54246,29.97002997002997,0,686.0029154456998,44.01136216933077,42.95346318982906
8,CF_FF_09,1280,720,54246,29.97002997002997,9000,685.1051014260513,42.0,41.14608122288197
9,CF_FF_10,1280,720,54246,29.97002997002997,3000,684.4567188654079,40.311288741492746,39.92492955535426
10,CF_FF_11,1280,720,54246,29.97002997002997,6000,683.1434695581888,40.19950248448356,38.18376618407357
11,CF_FF_12,1280,720,54246,29.97002997002997,18000,684.0116958064386,38.58756276314948,41.23105625617661
12,CF_FF_13,1280,720,54246,29.97002997002997,12000,694.9856113618468,41.10960958218893,42.5440947723653
13,CF_FF_14,1280,720,54246,29.97002997002997,12000,699.0028612244731,48.373546489791295,39.35733730830886
14,CF_FF_15,1280,720,54246,29.97002997002997,6000,698.1210496754843,44.598206241955516,43.174066289845804
15,CF_FF_16,1280,720,54246,29.97002997002997,36000,679.0596439194425,41.43669871020132,39.56008088970496
16,CF_FF_17,1280,720,54246,29.97002997002997,0,677.1890430300833,41.182520563948,39.05124837953327
17,CF_FF_18,1280,720,54246,29.97002997002997,0,679.1244363148775,45.12205669071391,40.70626487409524
18,CF_FF_19,1280,720,54246,29.97002997002997,9000,677.6208379322466,40.11234224026316,39.824615503479755
19,CF_FF_20,1280,720,54246,29.97002997002997,3000,676.2669591219136,42.20189569201838,41.19465984809196
20,CF_FF_21,1280,720,54246,29.97002997002997,6000,669.0067264235839,38.948684188300895,42.04759208325728
21,CF_FF_22,1280,720,54246,29.97002997002997,0,668.0187123127615,43.266615305567875,41.14608122288197
22,CF_FF_23,1280,720,54246,29.97002997002997,3000,666.3002326279047,44.294469180700204,39.319206502675
23,CF_FF_24,1280,720,54246,29.97002997002997,6000,668.5843252724371,40.26164427839479,41.036569057366385
24,CF_FF_25,1280,720,54246,29.97002997002997,9000,710.0007042250029,41.773197148410844,42.720018726587654
25,CF_FF_26,1280,720,54246,29.97002997002997,9000,715.4026838082171,41.593268686170845,42.720018726587654
26,CF_FF_27,1280,720,54246,29.97002997002997,6000,713.2271727857822,48.75448697299562,41.97618372363071
27,CF_FF_28,1280,720,54246,29.97002997002997,6000,682.1238890406933,43.829214001622255,44.41846462902562
28,CF_FF_29,1280,720,54246,29.97002997002997,9000,679.1244363148775,40.24922359499622,39.44616584663204
